created_at,entry_id,field1,field2
2018-12-27 11:36:08 UTC,182,23.9,82.8
2018-12-27 11:36:27 UTC,183,23.9,82.9
2018-12-27 11:36:46 UTC,184,23.9,82.9
2018-12-27 11:37:06 UTC,185,23.9,82.9
2018-12-27 11:37:25 UTC,186,23.9,83.0
2018-12-27 11:37:44 UTC,187,23.9,83.1
2018-12-27 11:38:03 UTC,188,23.9,83.1
2018-12-27 11:38:22 UTC,189,23.9,83.0
2018-12-27 11:38:41 UTC,190,23.9,83.1
2018-12-27 11:39:00 UTC,191,23.9,83.0
2018-12-27 11:39:19 UTC,192,23.9,83.1
2018-12-27 11:39:38 UTC,193,23.9,83.1
2018-12-27 11:39:58 UTC,194,23.9,83.1
2018-12-27 11:40:17 UTC,195,23.9,83.1
2018-12-27 11:40:36 UTC,196,23.9,83.1
2018-12-27 11:40:54 UTC,197,23.9,83.1
2018-12-27 11:41:15 UTC,198,23.9,83.1
2018-12-27 11:41:33 UTC,199,23.9,83.1
2018-12-27 11:41:53 UTC,200,23.9,83.2
2018-12-27 11:42:11 UTC,201,23.9,83.2
2018-12-27 11:42:31 UTC,202,23.9,83.3
2018-12-27 11:42:50 UTC,203,23.9,83.3
2018-12-27 11:43:09 UTC,204,23.9,83.2
2018-12-27 11:43:28 UTC,205,23.9,83.2
2018-12-27 11:43:47 UTC,206,23.9,83.2
2018-12-27 11:44:06 UTC,207,23.9,83.2
2018-12-27 11:44:45 UTC,208,23.9,83.2
2018-12-27 11:45:04 UTC,209,23.9,83.1
2018-12-27 11:45:23 UTC,210,23.9,83.2
2018-12-27 11:45:42 UTC,211,23.9,83.2
2018-12-27 11:46:01 UTC,212,23.9,83.3
2018-12-27 11:46:20 UTC,213,23.9,83.4
2018-12-27 11:46:39 UTC,214,23.9,83.3
2018-12-27 11:46:58 UTC,215,23.9,83.3
2018-12-27 11:47:17 UTC,216,23.9,83.2
2018-12-27 11:47:36 UTC,217,23.9,83.2
2018-12-27 11:47:56 UTC,218,23.9,83.3
2018-12-27 11:48:15 UTC,219,23.9,83.2
2018-12-27 11:48:34 UTC,220,23.9,83.2
2018-12-27 11:48:54 UTC,221,23.9,83.3
2018-12-27 11:49:13 UTC,222,23.9,83.2
2018-12-27 11:49:32 UTC,223,23.9,83.3
2018-12-27 11:49:51 UTC,224,23.9,83.3
2018-12-27 11:50:11 UTC,225,23.9,83.4
2018-12-27 11:50:30 UTC,226,23.9,83.4
2018-12-27 11:50:49 UTC,227,23.9,83.4
2018-12-27 11:51:09 UTC,228,23.9,83.4
2018-12-27 11:51:28 UTC,229,23.9,83.4
2018-12-27 11:51:47 UTC,230,23.9,83.4
2018-12-27 11:52:06 UTC,231,23.9,83.4
2018-12-27 11:52:25 UTC,232,23.9,83.4
2018-12-27 11:52:44 UTC,233,23.9,83.4
2018-12-27 11:53:03 UTC,234,23.9,83.4
2018-12-27 11:53:22 UTC,235,23.9,83.4
2018-12-27 11:53:41 UTC,236,23.9,83.4
2018-12-27 11:54:00 UTC,237,23.9,83.4
2018-12-27 11:54:19 UTC,238,23.9,83.4
2018-12-27 11:54:38 UTC,239,23.9,83.4
2018-12-27 11:54:58 UTC,240,23.9,83.4
2018-12-27 11:55:17 UTC,241,23.9,83.4
2018-12-27 11:55:36 UTC,242,23.9,83.4
2018-12-27 11:55:55 UTC,243,23.9,83.5
2018-12-27 11:56:13 UTC,244,23.9,83.4
2018-12-27 11:56:32 UTC,245,23.9,83.5
2018-12-27 11:56:52 UTC,246,23.9,83.5
2018-12-27 11:57:10 UTC,247,23.9,83.5
2018-12-27 11:57:29 UTC,248,23.9,83.5
2018-12-27 11:57:48 UTC,249,23.9,83.5
2018-12-27 11:58:07 UTC,250,23.9,83.6
2018-12-27 11:58:27 UTC,251,23.9,83.6
2018-12-27 11:58:45 UTC,252,23.9,83.6
2018-12-27 11:59:04 UTC,253,23.9,83.6
2018-12-27 11:59:24 UTC,254,23.9,83.6
2018-12-27 11:59:43 UTC,255,23.9,83.6
2018-12-27 12:00:02 UTC,256,23.9,83.5
2018-12-27 12:00:21 UTC,257,23.9,83.6
2018-12-27 12:00:41 UTC,258,23.9,83.6
2018-12-27 12:01:00 UTC,259,23.9,83.6
2018-12-27 12:01:20 UTC,260,23.9,83.5
2018-12-27 12:01:39 UTC,261,23.9,83.5
2018-12-27 12:01:58 UTC,262,23.9,83.5
2018-12-27 12:02:17 UTC,263,23.9,83.5
2018-12-27 12:02:37 UTC,264,23.9,83.5
2018-12-27 12:02:55 UTC,265,23.9,83.5
2018-12-27 12:03:14 UTC,266,23.9,83.5
2018-12-27 12:03:34 UTC,267,23.9,83.5
2018-12-27 12:03:53 UTC,268,23.9,83.5
2018-12-27 12:04:12 UTC,269,23.9,83.6
2018-12-27 12:04:31 UTC,270,23.9,83.6
2018-12-27 12:04:50 UTC,271,23.9,83.6
2018-12-27 12:05:09 UTC,272,23.9,83.6
2018-12-27 12:05:29 UTC,273,23.9,83.6
2018-12-27 12:05:50 UTC,274,23.9,83.6
2018-12-27 12:06:10 UTC,275,23.9,83.6
2018-12-27 12:06:31 UTC,276,23.9,83.6
2018-12-27 13:29:34 UTC,277,23.9,83.5
2018-12-27 13:29:53 UTC,278,24.0,84.3
2018-12-27 13:30:12 UTC,279,24.0,83.9
2018-12-27 13:30:32 UTC,280,24.0,83.8
2018-12-27 13:30:51 UTC,281,24.0,83.6
2018-12-27 13:31:10 UTC,282,24.0,83.7
2018-12-27 13:31:30 UTC,283,23.9,73.9
2018-12-27 13:32:17 UTC,284,23.9,65.1
2018-12-27 13:38:18 UTC,285,23.8,61.4
2018-12-27 13:38:37 UTC,286,23.0,61.1
2018-12-27 13:38:56 UTC,287,23.0,60.7
2018-12-27 13:39:16 UTC,288,22.9,60.8
2018-12-27 13:39:35 UTC,289,22.9,60.7
2018-12-27 13:39:54 UTC,290,22.9,60.5
2018-12-27 13:40:13 UTC,291,22.8,60.1
2018-12-27 13:40:32 UTC,292,22.8,60.2
2018-12-27 13:40:52 UTC,293,22.8,60.8
2018-12-27 13:41:11 UTC,294,22.7,61.2
2018-12-27 13:41:30 UTC,295,22.7,60.5
2018-12-27 13:41:49 UTC,296,22.7,60.6
2018-12-27 13:42:08 UTC,297,22.6,60.7
